Lane,Sample,Index
*,LN_KO_IG_VDJ,SI-TT-A6
*,LN_KO_IG_prot,SI-TN-A1
*,LN_KO_IG_GEX,SI-TT-F12
*,LN_KO_BIT_VDJ,SI-TT-B6
*,LN_KO_BIT_prot,SI-TN-B1
*,LN_KO_BIT_GEX,SI-TT-G12
*,LN_WT_IG_VDJ,SI-TT-C6
*,LN_WT_IG_prot,SI-TN-C1
*,LN_WT_IG_GEX,SI-TT-A2
*,LN_WT_BIT_VDJ,SI-TT-D6
*,LN_WT_BIT_prot,SI-TN-D1
*,LN_WT_BIT_GEX,SI-TT-B2
*,T_KO_IG_VDJ,SI-TT-E6
*,T_KO_IG_prot,SI-TN-E1
*,T_KO_IG_GEX,SI-TT-C2
*,T_KO_BIT_VDJ,SI-TT-F6
*,T_KO_BIT_prot,SI-TN-F1
*,T_KO_BIT_GEX,SI-TT-D2
*,T_WT_IG_VDJ,SI-TT-G6
*,T_WT_IG_prot,SI-TN-G1
*,T_WT_IG_GEX,SI-TT-E2
*,T_WT_BIT_VDJ,SI-TT-H6
*,T_WT_BIT_prot,SI-TN-H1
*,T_WT_BIT_GEX,SI-TT-F2
